district,age_group,male_cnt,feml_cnt,total_cnt
강남구,0~9세,12299,11484,23783
강남구,10대,24886,21910,46796
강남구,20대,22398,24760,47158
강남구,30대,26098,29176,55274
강남구,40대,32848,38715,71563
강남구,50대,30777,30176,60953
강남구,60대,20626,23481,44107
강남구,70대,12216,14300,26516
강남구,80대,4425,5480,9905
강남구,90세이상,396,1165,1561
관악구,0~9세,367,342,709
관악구,10대,353,355,708
관악구,20대,1743,2046,3789
관악구,30대,1987,1698,3685
관악구,40대,1081,1039,2120
관악구,50대,1116,1294,2410
관악구,60대,1004,1266,2270
관악구,70대,629,766,1395
관악구,80대,279,294,573
관악구,90세이상,21,49,70
마포구,0~9세,6515,6307,12822
마포구,10대,9590,9562,19152
마포구,20대,18596,23859,42455
마포구,30대,20778,23133,43911
마포구,40대,19154,20957,40111
마포구,50대,19007,19776,38783
마포구,60대,13333,15255,28588
마포구,70대,7008,9884,16892
마포구,80대,3543,5465,9008
마포구,90세이상,390,870,1260
영등포구,0~9세,8281,7884,16165
영등포구,10대,8861,8359,17220
영등포구,20대,18356,21887,40243
영등포구,30대,25221,25063,50284
영등포구,40대,19952,19136,39088
영등포구,50대,20362,20796,41158
영등포구,60대,17706,19164,36870
영등포구,70대,9530,11514,21044
영등포구,80대,4267,6115,10382
영등포구,90세이상,392,944,1336
성동구,0~9세,5706,5284,10990
성동구,10대,6584,6697,13281
성동구,20대,15659,16199,31858
성동구,30대,16473,16456,32929
성동구,40대,14626,14309,28935
성동구,50대,16385,16426,32811
성동구,60대,14324,14506,28830
성동구,70대,6893,8389,15282
성동구,80대,2960,4675,7635
성동구,90세이상,250,656,906
종로구,0~9세,2017,2107,4124
종로구,10대,3378,3514,6892
종로구,20대,8035,9141,17176
종로구,30대,7404,7338,14742
종로구,40대,6815,7151,13966
종로구,50대,8828,8900,17728
종로구,60대,7512,7678,15190
종로구,70대,3810,4721,8531
종로구,80대,1927,3001,4928
종로구,90세이상,235,462,697
송파구,0~9세,11413,10749,22162
송파구,10대,16365,15967,32332
송파구,20대,23278,26201,49479
송파구,30대,28064,30247,58311
송파구,40대,29448,31660,61108
송파구,50대,29097,31012,60109
송파구,60대,25332,28611,53943
송파구,70대,13778,15133,28911
송파구,80대,4674,6258,10932
송파구,90세이상,399,1245,1644
중구,0~9세,1450,1332,2782
중구,10대,1369,1395,2764
중구,20대,4088,5129,9217
중구,30대,5377,5447,10824
중구,40대,4331,4050,8381
중구,50대,4520,4235,8755
중구,60대,4284,4069,8353
중구,70대,2138,2593,4731
중구,80대,937,1430,2367
중구,90세이상,102,280,382
용산구,0~9세,4200,4066,8266
용산구,10대,5436,5220,10656
용산구,20대,9823,10778,20601
용산구,30대,13004,13031,26035
용산구,40대,11431,11703,23134
용산구,50대,12370,12827,25197
용산구,60대,10574,11098,21672
용산구,70대,5128,6489,11617
용산구,80대,2516,4241,6757
용산구,90세이상,354,770,1124
광진구,0~9세,7338,6985,14323
광진구,10대,11540,11327,22867
광진구,20대,25676,29772,55448
광진구,30대,25599,25831,51430
광진구,40대,22185,23265,45450
광진구,50대,24267,25805,50072
광진구,60대,20170,22227,42397
광진구,70대,9997,11855,21852
광진구,80대,4165,6047,10212
광진구,90세이상,371,971,1342
동대문구,0~9세,7575,7256,14831
동대문구,10대,9390,9214,18604
동대문구,20대,20354,22767,43121
동대문구,30대,19109,18221,37330
동대문구,40대,19475,18760,38235
동대문구,50대,20209,20310,40519
동대문구,60대,17377,18664,36041
동대문구,70대,9388,11485,20873
동대문구,80대,4052,6070,10122
동대문구,90세이상,304,846,1150
중랑구,0~9세,7270,7006,14276
중랑구,10대,9815,9172,18987
중랑구,20대,17944,19395,37339
중랑구,30대,21575,21102,42677
중랑구,40대,20867,19441,40308
중랑구,50대,24035,24810,48845
중랑구,60대,23046,24724,47770
중랑구,70대,11500,13649,25149
중랑구,80대,4582,6754,11336
중랑구,90세이상,352,1055,1407
성북구,0~9세,8012,7590,15602
성북구,10대,11186,10952,22138
성북구,20대,19228,19719,38947
성북구,30대,17492,17309,34801
성북구,40대,19758,20261,40019
성북구,50대,22225,23011,45236
성북구,60대,17465,20041,37506
성북구,70대,9473,12206,21679
성북구,80대,4329,6631,10960
성북구,90세이상,356,977,1333
강북구,0~9세,581,553,1134
강북구,10대,983,952,1935
강북구,20대,1684,1761,3445
강북구,30대,1801,1635,3436
강북구,40대,2008,1860,3868
강북구,50대,2408,2581,4989
강북구,60대,2426,2792,5218
강북구,70대,1387,1789,3176
강북구,80대,669,968,1637
강북구,90세이상,51,140,191
도봉구,0~9세,2935,2702,5637
도봉구,10대,4781,4407,9188
도봉구,20대,7745,7839,15584
도봉구,30대,7827,7075,14902
도봉구,40대,8682,8556,17238
도봉구,50대,10979,11682,22661
도봉구,60대,10606,11987,22593
도봉구,70대,5628,6658,12286
도봉구,80대,2494,3749,6243
도봉구,90세이상,219,602,821
노원구,0~9세,7358,6862,14220
노원구,10대,10465,9983,20448
노원구,20대,17066,16551,33617
노원구,30대,17325,16882,34207
노원구,40대,18154,18972,37126
노원구,50대,20673,22562,43235
노원구,60대,17851,20962,38813
노원구,70대,9677,11481,21158
노원구,80대,3762,6285,10047
노원구,90세이상,372,1107,1479
은평구,0~9세,9501,9224,18725
은평구,10대,13349,12753,26102
은평구,20대,20100,23718,43818
은평구,30대,23342,25034,48376
은평구,40대,25025,25777,50802
은평구,50대,26873,28474,55347
은평구,60대,22511,25816,48327
은평구,70대,12170,15904,28074
은평구,80대,5704,8547,14251
은평구,90세이상,453,1208,1661
서대문구,0~9세,5727,5458,11185
서대문구,10대,6941,6939,13880
서대문구,20대,10556,11080,21636
서대문구,30대,11581,12201,23782
서대문구,40대,13324,13493,26817
서대문구,50대,14205,15032,29237
서대문구,60대,11744,13140,24884
서대문구,70대,6252,8219,14471
서대문구,80대,3067,4981,8048
서대문구,90세이상,266,688,954
양천구,0~9세,12580,11890,24470
양천구,10대,24235,22300,46535
양천구,20대,25226,25027,50253
양천구,30대,24928,25403,50331
양천구,40대,33389,36651,70040
양천구,50대,35349,36203,71552
양천구,60대,28246,30953,59199
양천구,70대,14380,16230,30610
양천구,80대,4740,7285,12025
양천구,90세이상,408,1444,1852
강서구,0~9세,9397,9027,18424
강서구,10대,12019,11078,23097
강서구,20대,21330,24704,46034
강서구,30대,28573,28017,56590
강서구,40대,25511,24627,50138
강서구,50대,23177,24260,47437
강서구,60대,20528,23918,44446
강서구,70대,11115,12826,23941
강서구,80대,3768,5741,9509
강서구,90세이상,356,1048,1404
구로구,0~9세,11353,10758,22111
구로구,10대,14211,13725,27936
구로구,20대,23583,25489,49072
구로구,30대,30244,29467,59711
구로구,40대,29251,28118,57369
구로구,50대,29812,30616,60428
구로구,60대,26900,30261,57161
구로구,70대,15692,18127,33819
구로구,80대,5940,8296,14236
구로구,90세이상,437,1231,1668
금천구,0~9세,4996,4805,9801
금천구,10대,6516,6356,12872
금천구,20대,16883,18097,34980
금천구,30대,20901,17052,37953
금천구,40대,15782,13708,29490
금천구,50대,18828,18656,37484
금천구,60대,17937,18420,36357
금천구,70대,8935,10253,19188
금천구,80대,3423,4897,8320
금천구,90세이상,262,716,978
동작구,0~9세,8642,8199,16841
동작구,10대,11628,11139,22767
동작구,20대,27444,29496,56940
동작구,30대,27185,26005,53190
동작구,40대,23822,23873,47695
동작구,50대,24418,25852,50270
동작구,60대,20817,24155,44972
동작구,70대,11886,15285,27171
동작구,80대,5327,7346,12673
동작구,90세이상,462,1179,1641
서초구,0~9세,9673,9208,18881
서초구,10대,15259,14897,30156
서초구,20대,15886,17771,33657
서초구,30대,17554,20826,38380
서초구,40대,22413,26282,48695
서초구,50대,21678,21823,43501
서초구,60대,14690,16717,31407
서초구,70대,8834,10477,19311
서초구,80대,3601,4351,7952
서초구,90세이상,362,797,1159
강동구,0~9세,10457,9703,20160
강동구,10대,14129,12277,26406
강동구,20대,20007,21559,41566
강동구,30대,25048,25191,50239
강동구,40대,26194,26281,52475
강동구,50대,25311,26028,51339
강동구,60대,23426,26135,49561
강동구,70대,12464,13814,26278
강동구,80대,4134,5725,9859
강동구,90세이상,309,1059,1368
