district,district_profile,item_category,bid_count,amount_sum,amount_mean,latest_posted_date,count_score,amount_score,recency_score,opportunity_score,recommendation_flag,avg_lead_time_days,population,households,bids_per_10k_population,bids_per_10k_households,amount_per_10k_population,amount_per_10k_households
강서구,공항/산업단지/주거,폐기물/환경,95,292597122340.0,3079969708.8421054,2026-04-20 17:27:13,0.8623853211009175,0.8277188884260196,0.9375,86.7,제외,9.0,571154,259024,1.6633,3.6676,5122911199.7815,11296139444.2214
중구,도심/관광/명동,폐기물/환경,110,93770861544.0,852462377.6727272,2026-04-15 18:09:02,1.0,0.2652336029306289,0.8108108108108107,74.17,제외,5.1,120892,61208,9.099,17.9715,7756581208.3513,15320033581.2312
강남구,업무지구/고소득/IT,폐기물/환경,68,353494731759.0,5198451937.632353,2026-03-19 13:51:52,0.6146788990825688,1.0,0.46875,70.11,제외,7.1,524942,236215,1.2954,2.8787,6733976930.0037,14964956999.3015
중구,도심/관광/명동,시설유지보수,96,33075236260.0,344533711.0416667,2026-04-22 14:16:26,0.8715596330275229,0.09352391036028594,1.0,66.38,추천,6.7,120892,61208,7.941,15.6842,2735932589.4187,5403743997.5167
강남구,업무지구/고소득/IT,시설유지보수,86,25275197700.0,293897647.6744186,2026-04-20 16:09:37,0.7798165137614679,0.07145737398459949,0.9375,59.88,추천,6.8,524942,236215,1.6383,3.6408,481485529.83,1070008157.8223
강남구,업무지구/고소득/IT,행사/운영용역,66,35862815220.0,543375988.1818181,2026-04-10 15:20:08,0.5963302752293578,0.10141005246686269,0.7142857142857143,47.14,추천,10.5,524942,236215,1.2573,2.7941,683176717.0468,1518227683.2547
중구,도심/관광/명동,기타/미분류,53,9381931540.0,177017576.2264151,2026-04-22 22:01:36,0.47706422018348627,0.026494860895676174,1.0,44.65,제외,7.2,120892,61208,4.3841,8.659,776058923.6674,1532794984.3158
강서구,공항/산업단지/주거,시설유지보수,44,4979664888.0,113174202.0,2026-04-20 17:00:47,0.3944954128440367,0.014040720257193301,0.9375,38.9,추천,6.3,571154,259024,0.7704,1.6987,87186028.4267,192247239.1747
중구,도심/관광/명동,건설/공사,49,28838030556.0,588531235.8367347,2026-04-10 16:49:11,0.44036697247706424,0.08153673195349329,0.7142857142857143,38.75,제외,23.6,120892,61208,4.0532,8.0055,2385437461.205,4711480616.2593
은평구,주거/문화/뉴타운,폐기물/환경,29,54224116800.0,1869797131.0344827,2026-04-21 15:08:24,0.25688073394495414,0.15335470967635464,0.9677419354838709,36.8,제외,6.2,469094,210543,0.6182,1.3774,1155932857.8068,2575441444.2655
중구,도심/관광/명동,행사/운영용역,38,9106969122.0,239657082.15789473,2026-04-21 09:00:52,0.3394495412844037,0.02571698420287894,0.9375,36.49,추천,14.3,120892,61208,3.1433,6.2083,753314456.0434,1487872356.8815
송파구,가족주거/대형상권/복합문화,시설유지보수,35,14079656000.0,402275885.71428573,2026-04-20 16:30:10,0.3119266055045872,0.039784860282492285,0.9375,35.54,추천,83236.7,663823,287415,0.5272,1.2178,212099550.6332,489871996.9382
강남구,업무지구/고소득/IT,건설/공사,35,16434140000.0,469546857.14285713,2026-04-17 09:52:20,0.3119266055045872,0.04644576412704607,0.8333333333333334,33.66,제외,6.5,524942,236215,0.6667,1.4817,313065824.4149,695728044.3664
중구,도심/관광/명동,청소/환경미화,36,12325900490.0,342386124.7222222,2026-04-15 18:01:55,0.3211009174311927,0.0348234348410935,0.8108108108108107,33.32,추천,8.8,120892,61208,2.9779,5.8816,1019579499.8842,2013772789.5046
양천구,교육/주거/신도시,폐기물/환경,33,119639249040.0,3625431789.090909,2026-03-06 11:05:38,0.29357798165137616,0.33841602494942935,0.38961038961038963,32.62,제외,18.1,455390,201874,0.7247,1.6347,2627182174.4,5926431786.1636
관악구,청년/자취생/대학가,시설유지보수,26,6848272720.0,263395104.6153846,2026-04-22 11:12:54,0.22935779816513763,0.019327066264272604,1.0,32.05,추천,11.1,487305,243890,0.5335,1.0661,140533602.5692,280793501.9886
성동구,성수/브랜드/라이프스타일,폐기물/환경,17,77133369940.0,4537257055.294118,2026-04-17 08:52:03,0.14678899082568808,0.218165654374251,0.8333333333333334,30.55,제외,5.4,281402,128887,0.6041,1.319,2741038441.0914,5984573303.7467
강동구,주거/강변/문화,행사/운영용역,24,5827523000.0,242813458.33333334,2026-04-21 13:06:54,0.21100917431192662,0.01643933556222698,0.9677419354838709,30.4,추천,40.8,461012,204387,0.5206,1.1742,126407186.7977,285121998.953
동대문구,전통시장/패션/대학,시설유지보수,28,11611571161.0,414698970.03571427,2026-04-16 14:36:20,0.24770642201834864,0.032802576354132605,0.8333333333333334,30.04,추천,9.1,342289,165897,0.818,1.6878,339232962.818,699926530.3773
관악구,청년/자취생/대학가,폐기물/환경,37,142663433680.0,3855768477.8378377,2024-11-25 18:15:48,0.3302752293577982,0.40355211420987547,0.055248618784530384,29.73,제외,9.0,487305,243890,0.7593,1.5171,2927600449.0001,5849499105.3344
양천구,교육/주거/신도시,시설유지보수,26,23243415590.0,893977522.6923077,2026-04-16 10:42:59,0.22935779816513763,0.06570940319023666,0.8108108108108107,29.66,추천,16.5,455390,201874,0.5709,1.2879,510406807.1323,1151382327.0951
동작구,대학/주거/공원,행사/운영용역,28,3907049000.0,139537464.2857143,2026-04-16 16:38:38,0.24770642201834864,0.01100625865451999,0.8333333333333334,29.38,추천,14.2,380584,178302,0.7357,1.5704,102659307.8006,219125360.3437
강남구,업무지구/고소득/IT,전문용역/컨설팅,22,3313096000.0,150595272.72727272,2026-04-21 16:12:42,0.1926605504587156,0.009325948310009578,0.9677419354838709,29.27,추천,9.8,524942,236215,0.4191,0.9314,63113563.0222,140257646.6355
서초구,법조/교육/고소득,시설유지보수,18,22295967650.0,1238664869.4444444,2026-04-21 15:17:41,0.1559633027522936,0.06302904535979034,0.9677419354838709,29.04,추천,9.2,446718,203147,0.4029,0.8861,499106094.8966,1097528767.3458
용산구,외국인/관광/개발,시설유지보수,29,12651679000.0,436264793.1034483,2026-04-13 10:35:39,0.25688073394495414,0.035745071738915696,0.75,28.92,추천,17.7,225797,112084,1.2843,2.5873,560312094.492,1128767620.713
서대문구,대학/의료/주거,폐기물/환경,33,13997312001.0,424160969.72727275,2026-04-06 17:24:52,0.29357798165137616,0.03955190670985597,0.6521739130434783,28.91,제외,4.0,301916,146385,1.093,2.2543,463616105.1749,956198517.676
은평구,주거/문화/뉴타운,시설유지보수,17,56311322200.0,3312430717.647059,2026-04-13 14:22:40,0.14678899082568808,0.15925947457313602,0.7692307692307692,27.5,추천,10.6,469094,210543,0.3624,0.8074,1200427253.3863,2674575844.3643
동대문구,전통시장/패션/대학,폐기물/환경,27,61013195000.0,2259747962.962963,2026-03-24 09:17:16,0.23853211009174313,0.1725612097346928,0.5,27.1,제외,7.6,342289,165897,0.7888,1.6275,1782505280.6254,3677775668.035
강동구,주거/강변/문화,시설유지보수,16,8367610000.0,522975625.0,2026-04-21 15:31:38,0.13761467889908258,0.02362531570216468,0.9677419354838709,26.94,추천,14.1,461012,204387,0.3471,0.7828,181505253.6593,409400304.3246
용산구,외국인/관광/개발,폐기물/환경,21,98046363000.0,4668874428.571428,2026-03-18 17:57:05,0.1834862385321101,0.2773291211357497,0.46153846153846145,26.72,제외,7.2,225797,112084,0.93,1.8736,4342234972.121,8747578869.4194
강남구,업무지구/고소득/IT,청소/환경미화,21,108651845646.0,5173897411.714286,2026-03-11 09:19:11,0.1834862385321101,0.30733234058004827,0.410958904109589,26.61,추천,6.9,524942,236215,0.4,0.889,2069787626.9378,4599701358.7621
서초구,법조/교육/고소득,급수/전기/설비,13,55032478200.0,4233267553.8461537,2026-04-14 18:09:43,0.11009174311926606,0.15564158763222474,0.7894736842105263,25.96,추천,9.4,446718,203147,0.291,0.6399,1231928827.5825,2708997829.1582
강북구,주거/서민/교육,행사/운영용역,22,3166150000.0,143915909.0909091,2026-04-13 16:43:51,0.1926605504587156,0.008910233794072412,0.7692307692307692,25.28,추천,9.1,297441,139082,0.7396,1.5818,106446320.4467,227646280.6114
중랑구,주거/제조/서민,시설유지보수,21,79701092030.0,3795290096.6666665,2026-03-18 22:36:29,0.1834862385321101,0.2254298149890722,0.46153846153846145,25.17,추천,10.8,388558,177294,0.5405,1.1845,2051201932.0153,4495419587.2393
도봉구,주거/자연/교육,시설유지보수,14,4903073000.0,350219500.0,2026-04-21 09:52:40,0.11926605504587157,0.013824039574189793,0.9375,25.13,추천,16.1,313149,141362,0.4471,0.9904,156573164.8512,346845191.7771
영등포구,오피스/금융/교통,폐기물/환경,16,12760739880.0,797546242.5,2026-04-16 16:00:32,0.13761467889908258,0.03605360814641832,0.8333333333333334,24.63,제외,6.8,382246,191627,0.4186,0.835,333835798.9358,665915548.4352
강북구,주거/서민/교육,시설유지보수,25,5605175788.0,224207031.52,2026-04-06 10:49:02,0.22018348623853212,0.015810308820386042,0.6382978723404256,24.25,추천,10.3,297441,139082,0.8405,1.7975,188446642.7964,403012308.4224
성북구,대학/문화/주거,폐기물/환경,26,136057135000.0,5232966730.769231,2024-12-24 16:23:22,0.22935779816513763,0.38486270273972634,0.058365758754863814,24.18,제외,6.5,432127,198654,0.6017,1.3088,3148545103.6385,6848950184.7433
강남구,업무지구/고소득/IT,차량/운송,12,1105176560.0,92098046.66666667,2026-04-20 13:53:42,0.10091743119266056,0.0030796798765179785,0.9375,23.89,추천,5.7,524942,236215,0.2286,0.508,21053307.9845,46786891.603
마포구,홍대/관광/문화콘텐츠,전문용역/컨설팅,10,1596010000.0,159601000.0,2026-04-21 14:10:54,0.08256880733944955,0.004468261980933026,0.9677419354838709,23.62,추천,10.8,369048,181726,0.271,0.5503,43246677.9389,87825077.3142
중랑구,주거/제조/서민,폐기물/환경,16,4750521000.0,296907562.5,2026-04-15 22:31:21,0.13761467889908258,0.013392465520896431,0.8108108108108107,23.5,제외,6.6,388558,177294,0.4118,0.9025,122260280.3185,267945954.1778
노원구,주거/교육/대학,시설유지보수,7,6564710000.0,937815714.2857143,2026-04-22 13:17:33,0.05504587155963303,0.018524859066508626,1.0,23.31,데이터부족,10.3,505069,221187,0.1386,0.3165,129976498.2606,296794567.4927
강서구,공항/산업단지/주거,기타/미분류,17,2193049180.0,129002892.94117647,2026-04-14 16:35:15,0.14678899082568808,0.006157303218593268,0.7894736842105263,23.31,제외,6.8,571154,259024,0.2976,0.6563,38396810.3174,84665868.0277
동대문구,전통시장/패션/대학,건설/공사,12,17015154810.0,1417929567.5,2026-04-16 11:13:10,0.10091743119266056,0.04808947195503372,0.8333333333333334,23.16,제외,12.2,342289,165897,0.3506,0.7233,497099083.2308,1025645720.5374
강동구,주거/강변/문화,IT장비/전산,11,4126407570.0,375127960.90909094,2026-04-20 08:45:09,0.09174311926605505,0.011626830441055306,0.9090909090909091,23.12,추천,9.5,461012,204387,0.2386,0.5382,89507595.6808,201891880.1098
마포구,홍대/관광/문화콘텐츠,시설유지보수,22,4822277610.0,219194436.8181818,2026-04-07 09:37:23,0.1926605504587156,0.013595467061540217,0.6521739130434783,23.08,추천,14.6,369048,181726,0.5961,1.2106,130668032.6136,265359805.9716
용산구,외국인/관광/개발,행사/운영용역,13,1906224800.0,146632676.92307693,2026-04-17 17:00:41,0.11009174311926606,0.005345868689646053,0.8571428571428571,22.81,추천,11.4,225797,112084,0.5757,1.1598,84422060.5234,170071089.54
중구,도심/관광/명동,급수/전기/설비,14,7018086531.0,501291895.0714286,2026-04-15 17:50:59,0.11926605504587157,0.019807474483886003,0.8108108108108107,22.77,추천,6.3,120892,61208,1.1581,2.2873,580525306.141,1146596283.329
구로구,산업/디지털/제조,시설유지보수,13,36296000520.0,2792000040.0,2026-04-09 16:10:55,0.11009174311926606,0.10263554630337812,0.6976744186046512,22.54,추천,12.6,401907,189742,0.3235,0.6851,903094509.9239,1912913351.8146
마포구,홍대/관광/문화콘텐츠,청소/환경미화,15,3431276590.0,228751772.66666666,2026-04-14 17:07:50,0.12844036697247707,0.009660284642846257,0.7894736842105263,22.5,추천,6.1,369048,181726,0.4065,0.8254,92976430.9792,188815942.1327
강남구,업무지구/고소득/IT,IT장비/전산,22,14218252271.0,646284194.1363636,2026-03-30 14:36:00,0.1926605504587156,0.040176953171781285,0.5660377358490566,22.16,추천,12.5,524942,236215,0.4191,0.9314,270853775.6743,601919957.2847
금천구,제조/산업단지/중소기업,보험/금융,8,1903061300.0,237882662.5,2026-04-20 17:40:16,0.06422018348623854,0.005336919055963154,0.9375,22.12,데이터부족,6.4,229348,113402,0.3488,0.7055,82977017.4582,167815497.0812
구로구,산업/디지털/제조,IT장비/전산,9,3085648100.0,342849788.8888889,2026-04-20 09:46:05,0.07339449541284404,0.008682491573184998,0.9090909090909091,22.11,데이터부족,11.1,401907,189742,0.2239,0.4743,76775176.8444,162623356.9795
서대문구,대학/의료/주거,시설유지보수,5,2422911800.0,484582360.0,2026-04-23 10:50:56,0.03669724770642202,0.00680759126866165,1.0,22.04,데이터부족,9.4,301916,146385,0.1656,0.3416,80251189.0725,165516398.5381
구로구,산업/디지털/제조,폐기물/환경,22,130896971140.0,5949862324.545455,2024-12-19 17:31:37,0.1926605504587156,0.3702644488150441,0.057803468208092484,21.9,제외,6.5,401907,189742,0.5474,1.1595,3256897021.9479,6898681954.4434
강북구,주거/서민/교육,기타/미분류,7,1319443100.0,188491871.42857143,2026-04-21 09:35:34,0.05504587155963303,0.003685846161803942,0.9375,21.61,제외,9.9,297441,139082,0.2353,0.5033,44359825.9823,94867998.7346
강동구,주거/강변/문화,청소/환경미화,4,723997080.0,180999270.0,2026-04-22 16:25:57,0.027522935779816515,0.002001312020207631,1.0,21.44,데이터부족,6.5,461012,204387,0.0868,0.1957,15704517.0191,35422853.704
강북구,주거/서민/교육,IT장비/전산,10,1682985000.0,168298500.0,2026-04-17 16:43:12,0.08256880733944955,0.004714316790343523,0.8571428571428571,21.41,추천,10.3,297441,139082,0.3362,0.719,56582145.7028,121006672.3228
광진구,대학/강변/상업,폐기물/환경,24,16888331000.0,703680458.3333334,2026-03-18 14:58:32,0.21100917431192662,0.047730683700957684,0.46153846153846145,21.21,제외,5.3,342481,162039,0.7008,1.4811,493117311.6173,1042238658.5945
동작구,대학/주거/공원,폐기물/환경,14,18196674000.0,1299762428.5714285,2026-04-07 16:45:08,0.11926605504587157,0.05143202417245591,0.6666666666666666,20.84,제외,7.1,380584,178302,0.3679,0.7852,478125039.4131,1020553555.2041
동작구,대학/주거/공원,시설유지보수,37,24164081431.0,653083281.918919,2025-07-16 13:23:42,0.3302752293577982,0.06831399368219424,0.0967741935483871,20.5,추천,16.2,380584,178302,0.9722,2.0751,634921106.2735,1355233336.1936
중구,도심/관광/명동,조경/녹지관리,14,1603972020.0,114569430.0,2026-04-10 13:17:37,0.11926605504587157,0.004490786767522535,0.7142857142857143,20.38,추천,5.1,120892,61208,1.1581,2.2873,132678094.4976,262052676.1208
광진구,대학/강변/상업,행사/운영용역,22,6897205800.0,313509354.54545456,2026-03-24 06:19:48,0.1926605504587156,0.019465499373479488,0.5,20.22,추천,17.0,342481,162039,0.6424,1.3577,201389443.502,425650972.9139
금천구,제조/산업단지/중소기업,전문용역/컨설팅,8,1927700000.0,240962500.0,2026-04-16 20:46:38,0.06422018348623854,0.005406622656223257,0.8333333333333334,20.04,데이터부족,9.5,229348,113402,0.3488,0.7055,84051310.672,169988183.6299
종로구,공공기관/전통상권/관광,전문용역/컨설팅,11,654680000.0,59516363.63636363,2026-04-13 15:49:19,0.09174311926605505,0.0018052119810205982,0.7692307692307692,20.03,추천,13.7,141990,66939,0.7747,1.6433,46107472.3572,97802476.8819
광진구,대학/강변/상업,IT장비/전산,18,7166276170.0,398126453.8888889,2026-03-30 14:29:54,0.1559633027522936,0.020226707290793223,0.5660377358490566,19.73,추천,10.2,342481,162039,0.5256,1.1108,209245948.5344,442256257.4442
강서구,공항/산업단지/주거,건설/공사,29,25208821018.0,869269690.2758621,2026-01-14 13:04:13,0.25688073394495414,0.07126959241703627,0.234375,19.67,제외,9.7,571154,259024,0.5077,1.1196,441366444.3915,973223369.958
은평구,주거/문화/뉴타운,행사/운영용역,6,6149521000.0,1024920166.6666666,2026-04-16 16:00:17,0.045871559633027525,0.0173502772870969,0.8333333333333334,19.48,데이터부족,8.3,469094,210543,0.1279,0.285,131093576.1276,292079100.2313
서대문구,대학/의료/주거,전문용역/컨설팅,1,268992000.0,268992000.0,2026-04-21 16:28:43,0.0,0.0007140893902541037,0.9677419354838709,19.38,데이터부족,5.0,301916,146385,0.0331,0.0683,8909498.0061,18375653.2432
중구,도심/관광/명동,IT장비/전산,38,10131591590.0,266620831.31578946,2024-12-23 18:46:27,0.3394495412844037,0.02861567102186662,0.058252427184466014,19.0,추천,9.9,120892,61208,3.1433,6.2083,838069648.1157,1655272446.4122
강남구,업무지구/고소득/IT,의료/복지용품,7,187127500.0,26732500.0,2026-04-15 15:52:53,0.05504587155963303,0.00048249233426116714,0.8108108108108107,18.98,데이터부족,4.7,524942,236215,0.1333,0.2963,3564727.1508,7921914.3577
구로구,산업/디지털/제조,조경/녹지관리,1,98824000.0,98824000.0,2026-04-20 13:25:35,0.0,0.00023267915963880617,0.9375,18.76,데이터부족,29.0,401907,189742,0.0249,0.0527,2458877.3025,5208335.5293
강남구,업무지구/고소득/IT,기타/미분류,16,5749586000.0,359349125.0,2026-03-30 13:44:57,0.13761467889908258,0.01621884951817954,0.5660377358490566,18.69,제외,11.1,524942,236215,0.3048,0.6773,109528024.0484,243404779.5441
노원구,주거/교육/대학,폐기물/환경,24,79915730000.0,3329822083.3333335,2024-12-03 13:56:02,0.21100917431192662,0.22603703206065145,0.05607476635514019,18.45,제외,19.8,505069,221187,0.4752,1.0851,1582273511.144,3613039193.081
용산구,외국인/관광/개발,전문용역/컨설팅,10,1260354000.0,126035400.0,2026-04-09 16:37:52,0.08256880733944955,0.0035186813760754243,0.6976744186046512,18.19,추천,6.1,225797,112084,0.4429,0.8922,55818013.5254,112447271.6891
강남구,업무지구/고소득/IT,보험/금융,5,771540804.0,154308160.8,2026-04-15 08:47:30,0.03669724770642202,0.002135814600805335,0.7894736842105263,17.69,데이터부족,5.8,524942,236215,0.0952,0.2117,14697639.0535,32662650.7207
영등포구,오피스/금융/교통,차량/운송,4,229226920.0,57306730.0,2026-04-16 07:52:02,0.027522935779816515,0.0006015928201984189,0.8108108108108107,17.61,데이터부족,9.0,382246,191627,0.1046,0.2087,5996842.8708,11962141.0344
서초구,법조/교육/고소득,행사/운영용역,8,3517290000.0,439661250.0,2026-04-10 08:33:29,0.06422018348623854,0.009903619086126475,0.6976744186046512,17.46,데이터부족,11.2,446718,203147,0.1791,0.3938,78736249.7146,173140139.8987
도봉구,주거/자연/교육,건설/공사,10,1786130400.0,178613040.0,2026-04-07 09:31:23,0.08256880733944955,0.005006118132551853,0.6521739130434783,17.32,제외,8.9,313149,141362,0.3193,0.7074,57037716.8696,126351523.0401
성북구,대학/문화/주거,전문용역/컨설팅,3,349755000.0,116585000.0,2026-04-15 18:00:17,0.01834862385321101,0.0009425702706498494,0.8108108108108107,17.16,데이터부족,12.7,432127,198654,0.0694,0.151,8093801.1279,17606239.9952
강북구,주거/서민/교육,청소/환경미화,2,400000000.0,200000000.0,2026-04-17 10:39:53,0.009174311926605505,0.0010847148397654623,0.8333333333333334,17.16,데이터부족,15.5,297441,139082,0.0672,0.1438,13448045.1585,28760012.0792
중구,도심/관광/명동,인쇄/홍보물,8,1106209200.0,138276150.0,2026-04-09 09:50:51,0.06422018348623854,0.0030826012451686214,0.6818181818181818,16.94,데이터부족,12.2,120892,61208,0.6617,1.307,91503920.855,180729512.482
